season,offense,team_off_snaps
2024,TNUN,1144
2020,TNVA,770
2021,TNVA,1022
2022,TNVA,981
2023,TNVA,926
2024,TNVA,953
2020,TXAC,484
2021,TXAC,848
2022,TXAC,964
2023,TXAC,853
2024,TXAC,1215
2023,TXAI,74
2020,TXAM,815
2021,TXAM,953
2022,TXAM,926
2023,TXAM,1071
2024,TXAM,1066
2020,TXAN,189
2020,TXBA,776
2021,TXBA,1126
2022,TXBA,1102
2023,TXBA,1014
2024,TXBA,1093
2023,TXCL,73
2020,TXCU,847
2021,TXCU,968
2022,TXCU,1258
2023,TXCU,1082
2024,TXCU,1072
2022,TXEA,890
2023,TXEA,797
2024,TXEA,1039
2020,TXEP,651
2021,TXEP,1038
2022,TXEP,1011
2023,TXEP,938
2024,TXEP,989
2020,TXHO,715
2021,TXHO,1186
2022,TXHO,1098
2023,TXHO,934
2024,TXHO,855
2020,TXHT,401
2021,TXHT,920
2022,TXHT,967
2023,TXHT,821
2024,TXHT,1008
2020,TXIW,575
2021,TXIW,1150
2022,TXIW,1255
2023,TXIW,840
2024,TXIW,1247
2020,TXLA,506
2021,TXLA,824
2022,TXLA,954
2023,TXLA,841
2024,TXLA,918
2020,TXMU,912
2021,TXMU,1080
2022,TXMU,1207
2023,TXMU,1217
2024,TXMU,1175
2020,TXMW,64
2021,TXMW,90
2021,TXNA,132
2022,TXNA,150
2023,TXNA,147
2024,TXNA,62
2020,TXNO,950
2021,TXNO,1224
2022,TXNO,1190
2023,TXNO,1094
2024,TXNO,1153
2021,TXPB,86
2020,TXPV,252
2021,TXPV,991
2022,TXPV,897
2023,TXPV,913
2024,TXPV,963
2020,TXRI,413
2021,TXRI,1004
2022,TXRI,1049
2023,TXRI,1003
2024,TXRI,952
2020,TXSF,795
2021,TXSF,1003
2022,TXSF,957
2023,TXSF,989
2024,TXSF,986
2020,TXSH,832
2021,TXSH,1071
2022,TXSH,760
2023,TXSH,997
2024,TXSH,1088
2020,TXSN,1046
2021,TXSN,1212
2022,TXSN,1246
2023,TXSN,1148
2024,TXSN,1212
2020,TXSO,182
2021,TXSO,924
2022,TXSO,903
2023,TXSO,871
2024,TXSO,827
2020,TXSW,974
2021,TXSW,1016
2022,TXSW,1009
2023,TXSW,1160
2024,TXSW,1141
2020,TXTA,698
2021,TXTA,869
2022,TXTA,960
2023,TXTA,899
2024,TXTA,1140
2020,TXTC,903
2021,TXTC,1011
2022,TXTC,1296
2023,TXTC,1132
2024,TXTC,1223
2020,TXUN,894
2021,TXUN,997
2022,TXUN,1062
2023,TXUN,1195
2024,TXUN,1326
2020,TXWE,87
2021,TXWS,70
2020,UTBY,949
2021,UTBY,1045
2022,UTBY,1013
2023,UTBY,939
2024,UTBY,998
2020,UTDX,420
2021,UTDX,960
2022,UTDX,965
2023,UTDX,913
2024,UTDX,1002
2020,UTSO,492
2021,UTSO,869
2022,UTSO,909
2023,UTSO,909
2024,UTSO,991
2020,UTST,455
2021,UTST,1281
2022,UTST,1147
2023,UTST,1140
2024,UTST,1084
2020,UTUN,419
2021,UTUN,1135
2022,UTUN,1191
2023,UTUN,1055
2024,UTUN,928
2020,UTWB,481
2021,UTWB,926
2022,UTWB,1126
2023,UTWB,843
2024,UTWB,1050
2021,VACV,87
2022,VACV,96
2024,VACV,82
2021,VAHI,919
